Advertising, 0.017769960996547703%, 10000000
Agriculture, 0.016348364116823888%, 9200000
Architecture, 0.017769960996547703%, 10000000
Aviation, 0.009240379718204806%, 5200000
Banking, 0.007072444476625986%, 
Investment banking, 0.0012261273087617916%, 690000
Online banking, 0.00479788946906788%, 2700000
Retail banking, 0.0010484276987963144%, 590000
Business, 0.06930284788653604%, 39000000
Construction, 0.017769960996547703%, 10000000
Design, 0.034118325113371595%, 
Fashion design, 0.007107984398619082%, 4000000
Graphic design, 0.009951178158066714%, 5600000
Interior design, 0.017059162556685797%, 9600000
Economics, 0.012083573477652439%, 6800000
Engineering, 0.013860569577307209%, 7800000
Entrepreneurship, 0.01617066450685841%, 9100000
Healthcare, 0.010484276987963144%, 5900000
Higher education, 0.03553992199309541%, 20000000
Management, 0.014926767237100073%, 8400000
Marketing, 0.028431937594476327%, 16000000
Nursing, 0.008351881668377421%, 4700000
Online, 0.03031377646401073%, 
Digital marketing, 0.003198592979378587%, 1800000
Display advertising, 3.376292589344063e-05%, 19000
Email marketing, 0.0003731691809275018%, 210000
Online advertising, 0.0026654941494821554%, 1500000
Search engine optimisation, 0.0006041786738826219%, 340000
Social media, 0.021323953195857243%, 12000000
Social media marketing, 0.00030208933694131097%, 170000
Web design, 0.0006930284788653604%, 390000
Web development, 0.0006219486348791696%, 350000
Web hosting, 0.0004975589079033357%, 280000
Personal finance, 0.0742784369655694%, 
Credit cards, 0.03376292589344063%, 19000000
Insurance, 0.01741456177661675%, 9800000
Investment, 0.019546957096202473%, 11000000
Mortgage loans, 0.003553992199309541%, 2000000
Property, 0.019546957096202473%, 11000000
Retail, 0.021323953195857243%, 12000000
Sales, 0.046201898591024027%, 26000000
Science, 0.03376292589344063%, 19000000
Small business, 0.0012972071527479823%, 730000
Films, 0.20755314443967718%, 
Action films, 0.026654941494821553%, 15000000
Animated films, 0.021323953195857243%, 12000000
Anime films, 0.021323953195857243%, 12000000
Bollywood films, 0.005330988298964311%, 3000000
Comedy films, 0.03198592979378587%, 18000000
Documentary films, 0.011017375817859576%, 6200000
Drama films, 0.007463383618550036%, 4200000
Fantasy films, 0.015459866066996501%, 8700000
Horror films, 0.016881462946720317%, 9500000
Musical theatre, 0.016348364116823888%, 9200000
Science fiction films, 0.012438972697583392%, 7000000
Thriller films, 0.021323953195857243%, 12000000
Games, 0.188112807109454%, 
Action games, 0.005864087128860742%, 3300000
Board games, 0.0014571368017169118%, 820000
Browser games, 0.0010484276987963144%, 590000
Card games, 0.004975589079033357%, 2800000
Casino games, 0.00035539921993095404%, 200000
First-person shooter games, 0.028431937594476327%, 16000000
Gambling, 0.021323953195857243%, 12000000
Massively multiplayer online games, 0.0012261273087617916%, 690000
Massively multiplayer online role-playing games, 0.0023100949295512016%, 1300000
Online games, 0.017769960996547703%, 10000000
Online poker, 0.0019546957096202473%, 1100000
Puzzle video games, 0.007996482448446467%, 4500000
Racing games, 0.00479788946906788%, 2700000
Role-playing games, 0.004264790639171449%, 2400000
Shooter games, 0.003553992199309541%, 2000000
Simulation games, 0.004264790639171449%, 2400000
Sports games, 0.006219486348791696%, 3500000
Strategy games, 0.0009951178158066714%, 560000
Video games, 0.06752585178688127%, 38000000
Word games, 0.0017769960996547704%, 1000000
Live events, 0.1446474825118983%, 
Ballet, 0.006397185958757174%, 3600000
Bars, 0.021323953195857243%, 12000000
