Advertising, 0.3947188200749256%, 10000000
Agriculture, 0.3631413144689315%, 9200000
Architecture, 0.3947188200749256%, 10000000
Aviation, 0.2052537864389613%, 5200000
Banking, 0.15709809038982034%, 3980000
Investment banking, 0.027235598585169864%, 690000
Online banking, 0.10657408142022988%, 2700000
Retail banking, 0.023288410384420605%, 590000
Business, 1.5394033982922095%, 39000000
Construction, 0.3947188200749256%, 10000000
Design, 0.757860134543857%, 19200000
Fashion design, 0.1578875280299702%, 4000000
Graphic design, 0.22104253924195827%, 5600000
Interior design, 0.3789300672719285%, 9600000
Economics, 0.2684087976509493%, 6800000
Engineering, 0.3078806796584419%, 7800000
Entrepreneurship, 0.35919412626818226%, 9100000
Healthcare, 0.23288410384420608%, 5900000
Higher education, 0.7894376401498512%, 20000000
Management, 0.33156380886293746%, 8400000
Marketing, 0.6315501121198808%, 16000000
Nursing, 0.185517845435215%, 4700000
Online, 0.6733508351658155%, 17059000
Digital marketing, 0.07104938761348659%, 1800000
Display advertising, 0.0007499657581423585%, 19000
Email marketing, 0.008289095221573436%, 210000
Online advertising, 0.05920782301123882%, 1500000
Search engine optimisation, 0.013420439882547467%, 340000
Social media, 0.4736625840899106%, 12000000
Social media marketing, 0.006710219941273733%, 170000
Web design, 0.015394033982922096%, 390000
Web development, 0.013815158702622392%, 350000
Web hosting, 0.011052126962097914%, 280000
Personal finance, 1.649924667913189%, 41800000
Credit cards, 0.7499657581423586%, 19000000
Insurance, 0.386824443673427%, 9800000
Investment, 0.43419070208241806%, 11000000
Mortgage loans, 0.0789437640149851%, 2000000
Property, 0.43419070208241806%, 11000000
Retail, 0.4736625840899106%, 12000000
Sales, 1.0262689321948064%, 26000000
Science, 0.7499657581423586%, 19000000
Small business, 0.02881447386546956%, 730000
Films, 4.61031581847513%, 116800000
Action films, 0.5920782301123884%, 15000000
Animated films, 0.4736625840899106%, 12000000
Anime films, 0.4736625840899106%, 12000000
Bollywood films, 0.11841564602247764%, 3000000
Comedy films, 0.7104938761348659%, 18000000
Documentary films, 0.2447256684464538%, 6200000
Drama films, 0.16578190443146873%, 4200000
Fantasy films, 0.34340537346518524%, 8700000
Horror films, 0.3749828790711793%, 9500000
Musical theatre, 0.3631413144689315%, 9200000
Science fiction films, 0.27630317405244786%, 7000000
Thriller films, 0.4736625840899106%, 12000000
Games, 4.1784934293131615%, 105860000
Action games, 0.13025721062472542%, 3300000
Board games, 0.03236694324614389%, 820000
Browser games, 0.023288410384420605%, 590000
Card games, 0.11052126962097913%, 2800000
Casino games, 0.00789437640149851%, 200000
First-person shooter games, 0.6315501121198808%, 16000000
Gambling, 0.4736625840899106%, 12000000
Massively multiplayer online games, 0.027235598585169864%, 690000
Massively multiplayer online role-playing games, 0.051313446609740326%, 1300000
Online games, 0.3947188200749256%, 10000000
Online poker, 0.04341907020824181%, 1100000
Puzzle video games, 0.17762346903371648%, 4500000
Racing games, 0.10657408142022988%, 2700000
Role-playing games, 0.09473251681798213%, 2400000
Shooter games, 0.0789437640149851%, 2000000
Simulation games, 0.09473251681798213%, 2400000
Sports games, 0.13815158702622393%, 3500000
Strategy games, 0.02210425392419583%, 560000
Video games, 1.499931516284717%, 38000000
Word games, 0.03947188200749255%, 1000000
Live events, 3.2130111954098934%, 81400000
Ballet, 0.14209877522697317%, 3600000
Bars, 0.4736625840899106%, 12000000
Concerts, 0.5526063481048957%, 14000000
Dancehalls, 0.12631002242397615%, 3200000
Music festivals, 0.27630317405244786%, 7000000
Nightclubs, 0.35524693806743296%, 9000000
Parties, 0.43419070208241806%, 11000000
Plays, 0.29998630325694337%, 7600000
Theatre, 0.5526063481048957%, 14000000
Music, 8.206204269357702%, 207900000
Blues music, 0.43419070208241806%, 11000000
Classical music, 0.3276166206621882%, 8300000
Country music, 0.2052537864389613%, 5200000
Dance music, 0.2486728566472031%, 6300000
Electronic music, 0.7499657581423586%, 19000000
Gospel music, 0.1973594100374628%, 5000000
Heavy metal music, 0.5131344660974032%, 13000000
Hip hop music, 0.7894376401498512%, 20000000
Jazz music, 0.3197222442606897%, 8100000
Music videos, 1.1052126962097915%, 28000000
Pop music, 1.1841564602247767%, 30000000
Rhythm and blues music, 0.5920782301123884%, 15000000
Rock music, 1.0657408142022988%, 27000000
Soul music, 0.4736625840899106%, 12000000
Reading, 4.5069784313795145%, 114182000
Books, 0.9867970501873139%, 25000000
Comics, 0.2565672330487016%, 6500000
Fiction books, 0.3118278678591912%, 7900000
Literature, 0.5526063481048957%, 14000000
Magazines, 0.6710219941273734%, 17000000
Manga, 0.2960391150561942%, 7500000
Mystery fiction, 0.1578875280299702%, 4000000
Newspapers, 0.8683814041648361%, 22000000
Non-fiction books, 0.0032366943246143892%, 82000
Romance novels, 0.11052126962097913%, 2800000
eBooks, 0.2920919268554449%, 7400000
Television programme, 62.93546860426241%, 1594438000
TV chat shows, 0.05920782301123882%, 1500000
TV comedies, 0.06710219941273733%, 1700000
TV game shows, 0.17367628083296724%, 4400000
TV reality shows, 0.5131344660974032%, 13000000
Dating, 0.43419070208241806%, 11000000
Family, 1.8551784543521501%, 47000000
Fatherhood, 0.5526063481048957%, 14000000
Friendship, 1.5394033982922095%, 39000000
Marriage, 0.16578190443146873%, 4200000
Motherhood, 0.8683814041648361%, 22000000
Parenting, 0.05526063481048957%, 1400000
Weddings, 0.30393349145769266%, 7700000
Bodybuilding, 0.0986797050187314%, 2500000
Meditation, 0.38287725547267776%, 9700000
Physical exercise, 0.6710219941273734%, 17000000
Physical fitness, 0.5920782301123884%, 15000000
Running, 0.16578190443146873%, 4200000
Weight training, 0.09473251681798213%, 2400000
Yoga, 0.2644616094502001%, 6700000
Alcoholic drink, 1.5394033982922095%, 39000000
Beer, 0.7499657581423586%, 19000000
Distilled drinks, 0.3947188200749256%, 10000000
Wine, 0.3947188200749256%, 10000000
Cooking, 0.8012792047520988%, 20300000
Baking, 0.20920097463971052%, 5300000
Recipes, 0.5920782301123884%, 15000000
Cuisine, 0.9461410117195965%, 23970000
Chinese cuisine, 0.06710219941273733%, 1700000
French Cuisine, 0.051313446609740326%, 1300000
German cuisine, 0.009473251681798214%, 240000
Greek cuisine, 0.006710219941273733%, 170000
Indian cuisine, 0.022498972744270755%, 570000
Italian cuisine, 0.051313446609740326%, 1300000
Japanese cuisine, 0.16972909263221797%, 4300000
Korean cuisine, 0.06710219941273733%, 1700000
Latin American cuisine, 0.08683814041648362%, 2200000
Mexican Cuisine, 0.37103569087043%, 9400000
Middle Eastern cuisine, 0.010262689321948064%, 260000
Spanish cuisine, 0.015394033982922096%, 390000
Thai cuisine, 0.008289095221573436%, 210000
Vietnamese cuisine, 0.009078532861723288%, 230000
Drinks, 2.0406962997873648%, 51700000
Coffee, 0.7499657581423586%, 19000000
Energy drinks, 0.11446845782172839%, 2900000
Juice, 0.23288410384420608%, 5900000
Soft drinks, 0.39077163187417624%, 9900000
Tea, 0.5526063481048957%, 14000000
Food, 2.8656586337439593%, 72600000
Barbecue, 0.2802503622531971%, 7100000
Chocolate, 0.5920782301123884%, 15000000
Desserts, 0.6315501121198808%, 16000000
Fast food, 0.2368312920449553%, 6000000
Organic food, 0.11052126962097913%, 2800000
Pizza, 0.4736625840899106%, 12000000
Seafood, 0.2723559858516986%, 6900000
Veganism, 0.16183471623071946%, 4100000
Vegetarianism, 0.10657408142022988%, 2700000
